WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-89,2417,2024-11-18T21:30:36.604Z
Bluetooth,Unknown,c6:39:96:7f:06:4f,-54,N/A,2024-11-18T21:30:36.603Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:30:26.588Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T21:33:17.159Z
Bluetooth,Unknown,c6:39:96:7f:06:4f,-61,N/A,2024-11-18T21:33:17.159Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:33:07.147Z
WiFi,iPhone,9a:64:3b:44:83:cb,-51.5,2417,2024-11-18T21:38:42.895Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-89,2417,2024-11-18T21:38:42.895Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:38:32.886Z
WiFi,iPhone,9a:64:3b:44:83:cb,-51.5,2417,2024-11-18T21:38:47.906Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T21:38:47.906Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:38:37.899Z
WiFi,iPhone,9a:64:3b:44:83:cb,-51.5,2417,2024-11-18T21:38:57.949Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T21:38:57.949Z
Bluetooth,Unknown,c6:39:96:7f:06:4f,-75,N/A,2024-11-18T21:38:57.949Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:38:47.945Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-91,2417,2024-11-18T21:39:07.987Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:38:57.973Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T21:41:33.805Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:41:23.801Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-89,2417,2024-11-18T21:52:43.145Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:52:33.144Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-89,2417,2024-11-18T21:53:47.058Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:53:37.055Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-89,2417,2024-11-18T21:53:58.153Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:53:48.144Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-89,2417,2024-11-18T21:57:21.945Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:57:11.938Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-91,2417,2024-11-18T21:58:50.869Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:58:40.864Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T21:59:00.912Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T21:58:50.906Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T22:01:58.455Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:01:48.446Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-91,2417,2024-11-18T22:07:02.224Z
Bluetooth,Unknown,5e:14:7b:71:a6:e8,-52,N/A,2024-11-18T22:07:02.223Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:06:52.208Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-91,2417,2024-11-18T22:07:12.270Z
Bluetooth,Unknown,5e:14:7b:71:a6:e8,-49,N/A,2024-11-18T22:07:12.269Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:07:02.261Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T22:09:24.473Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:09:14.466Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-91,2417,2024-11-18T22:09:49.930Z
Bluetooth,Unknown,5e:14:7b:71:a6:e8,-39,N/A,2024-11-18T22:09:49.930Z
Bluetooth,Unknown,eb:53:11:e8:32:41,-42,N/A,2024-11-18T22:09:49.930Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:09:39.912Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-91,2417,2024-11-18T22:09:59.982Z
Bluetooth,Unknown,71:45:4f:ca:8f:95,-46,N/A,2024-11-18T22:09:59.982Z
Bluetooth,Unknown,eb:53:11:e8:32:41,-46,N/A,2024-11-18T22:09:59.982Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:09:49.967Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T22:13:03.454Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:12:53.440Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-91,2417,2024-11-18T22:13:33.672Z
Bluetooth,Unknown,51:8b:1e:8f:09:6d,-101,N/A,2024-11-18T22:13:33.672Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:13:23.662Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T22:15:01.483Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:14:51.479Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T22:15:23.610Z
Bluetooth,Unknown,71:45:4f:ca:8f:95,-48,N/A,2024-11-18T22:15:23.609Z
Bluetooth,Unknown,53:bf:1a:3f:c0:79,-99,N/A,2024-11-18T22:15:23.609Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:15:13.607Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T22:21:43.528Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:21:33.519Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T22:23:06.058Z
Bluetooth,Unknown,e0:95:d0:e2:a4:de,-49,N/A,2024-11-18T22:23:06.058Z
Bluetooth,Unknown,71:45:4f:ca:8f:95,-46,N/A,2024-11-18T22:23:06.058Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:22:56.054Z
